OrderID,ShipMode,OrderPriority,NumberOfProducts,TotalSales,TotalQuantity,TotalProfit,TotalShippingCost
AE-2011-9160,Standard Class,Medium,2,161.082,8,-246.07800000000003,9.56
AE-2013-1130,Same Day,High,2,228.99599999999998,7,-236.964,60.18
AE-2013-1530,Second Class,High,2,23.634,3,-38.076,3.16
AE-2014-2840,First Class,Critical,1,42.48,1,-75.06,8.04
AE-2014-3830,Standard Class,Medium,6,281.502,16,-429.108,19.380000000000003
AE-2014-4120,Standard Class,Medium,1,6.426,2,-11.574,0.49
AG-2011-1070,Second Class,Medium,1,308.64,1,61.71,31.41
AG-2011-1390,Standard Class,Medium,2,607.26,14,222.48000000000002,37.730000000000004
AG-2011-1440,Standard Class,Medium,1,58.74,2,20.52,3.04
AG-2011-2040,Standard Class,Medium,1,408.3,2,106.14,35.46
AG-2011-3090,Standard Class,Medium,1,276.96,2,11.04,20.15
AG-2011-3130,Standard Class,Medium,1,35.97,1,7.17,2.83
AG-2011-380,Standard Class,Medium,1,113.28,1,29.43,9.51
AG-2011-4410,First Class,High,1,24.72,1,10.86,4.29
AG-2011-4450,Same Day,Critical,1,11.37,1,4.08,3.8
AG-2011-450,Standard Class,Medium,1,10.92,1,4.14,1.05
AG-2011-4560,Standard Class,Low,3,1475.97,7,86.79,197.73999999999998
AG-2011-500,Standard Class,Medium,1,54.9,2,15.36,3.48
AG-2011-60,Second Class,Medium,1,10.41,1,4.26,0.74
AG-2011-7230,Standard Class,Medium,1,91.38,2,14.58,4.36
AG-2011-7710,First Class,Critical,1,874.68,2,148.68,78.7
AG-2011-8180,Same Day,Critical,5,1408.41,19,331.71,403.42
AG-2011-8390,Standard Class,Medium,1,55.44,4,19.32,3.98
AG-2011-8930,Same Day,Medium,1,116.04,2,27.84,9.32
AG-2011-9060,Standard Class,Medium,1,198.09,1,29.7,12.63
AG-2011-9610,First Class,High,1,298.68,2,53.76,47.5
AG-2011-9670,First Class,Medium,1,1589.4,6,349.56,102.07
AG-2011-9890,Standard Class,Medium,3,510.24,13,177.18,20.23
AG-2012-170,Second Class,Critical,2,198.21,2,42.0,27.54
AG-2012-1940,Standard Class,Medium,2,362.70000000000005,5,96.57,17.79
AG-2012-2200,First Class,Medium,1,1447.44,4,506.52,199.04
AG-2012-2220,Standard Class,High,3,1996.1100000000001,8,211.68,176.98999999999998
AG-2012-2430,Standard Class,Medium,3,153.24,6,61.17,9.95
AG-2012-3190,Standard Class,Medium,2,408.21000000000004,5,11.1,5.1899999999999995
AG-2012-4060,First Class,Medium,5,528.6,11,174.96,29.58
AG-2012-4630,Second Class,Medium,10,2366.1,32,632.79,242.57999999999998
AG-2012-4750,Standard Class,Medium,2,291.78000000000003,6,28.38,15.719999999999999
AG-2012-4910,Standard Class,Medium,3,105.36,4,23.79,5.29
AG-2012-5400,Same Day,High,4,262.71,6,102.33,40.94
AG-2012-6020,Standard Class,High,2,269.49,3,98.85,33.010000000000005
AG-2012-6390,Standard Class,Medium,1,16.71,1,3.15,1.1
AG-2012-7530,Standard Class,Medium,1,110.1,1,8.79,7.95
AG-2012-8490,Standard Class,Medium,4,754.7099999999999,10,210.54,54.75
AG-2012-8660,Standard Class,Medium,1,17.52,1,5.43,0.4
AG-2013-2580,Standard Class,Medium,1,110.7,2,17.7,8.47
AG-2013-2690,Second Class,Critical,2,84.72,4,14.1,25.75
AG-2013-2840,First Class,High,1,146.76,1,42.54,17.73
AG-2013-2970,Standard Class,Medium,1,43.05,1,10.32,1.28
AG-2013-3970,Standard Class,Medium,1,25.23,1,6.54,1.66
AG-2013-4150,Second Class,High,5,661.47,9,135.75,107.72
AG-2013-5140,First Class,Medium,2,278.31,3,96.72000000000001,24.27
AG-2013-5250,Standard Class,Medium,1,166.83,1,4.98,10.35
AG-2013-5570,First Class,High,2,111.84,3,46.8,23.92
AG-2013-5820,First Class,Medium,4,173.49,11,21.39,21.189999999999998
AG-2013-6090,Standard Class,High,2,64.38,3,21.03,5.14
AG-2013-640,Second Class,High,2,91.32,5,9.870000000000001,7.33
AG-2013-6520,Standard Class,Medium,3,153.24,8,70.08,7.29
AG-2013-6630,First Class,High,1,435.99,1,178.74,70.02
AG-2013-6810,Second Class,High,2,755.22,2,282.3,109.24
AG-2013-7890,Second Class,Medium,1,1050.96,4,399.36,64.78
AG-2013-8490,Second Class,High,5,904.5600000000001,15,324.51,96.93
AG-2013-8990,First Class,Critical,1,147.3,1,10.29,50.56
AG-2013-9570,Standard Class,Medium,1,31.95,1,11.82,2.4
AG-2013-9890,Standard Class,High,1,41.28,4,18.12,6.07
AG-2014-2040,Standard Class,High,1,106.92,1,26.73,16.77
AG-2014-2110,Second Class,Medium,2,265.92,12,94.56,12.190000000000001
AG-2014-2230,Second Class,Medium,1,35.76,2,9.6,1.41
AG-2014-2280,Standard Class,Medium,4,663.0899999999999,7,137.4,24.86
AG-2014-2360,Standard Class,High,1,19.35,1,2.1,2.75
AG-2014-2600,Second Class,Medium,4,559.5899999999999,7,90.81,31.54
AG-2014-2760,Standard Class,High,6,1781.8200000000002,16,623.3100000000001,227.04999999999998
AG-2014-2830,Second Class,Medium,2,569.19,2,98.67,31.59
AG-2014-3130,Second Class,Medium,1,481.68,2,178.2,25.79
AG-2014-3510,First Class,High,1,39.96,2,19.14,6.3
AG-2014-3710,Second Class,Medium,3,221.79000000000002,5,37.38,21.490000000000002
AG-2014-4280,Standard Class,Medium,3,1771.68,12,633.42,119.67
AG-2014-4290,Standard Class,High,1,1008.0,8,433.44,122.39
AG-2014-4590,Same Day,Critical,1,73.26,1,10.98,24.16
AG-2014-4720,Standard Class,Medium,1,14.97,1,5.37,0.52
AG-2014-4840,Standard Class,High,6,455.37,10,129.9,65.58
AG-2014-4880,Second Class,Medium,1,4.8,1,2.19,0.31
AG-2014-5620,Standard Class,Medium,2,110.03999999999999,12,29.04,8.27
AG-2014-6170,Standard Class,Medium,1,22.29,1,10.68,1.37
AG-2014-6310,Standard Class,Low,2,54.12,2,11.64,6.9399999999999995
AG-2014-6470,First Class,Critical,5,491.28000000000003,7,122.28,99.47000000000001
AG-2014-6650,Standard Class,Medium,6,335.84999999999997,7,78.36,23.39
AG-2014-7430,Standard Class,Medium,2,330.75,2,10.530000000000001,19.91
AG-2014-7490,Standard Class,Medium,1,26.37,1,10.8,1.19
AG-2014-7770,Standard Class,Medium,2,918.48,10,177.72,34.03
AG-2014-8040,Second Class,High,1,122.88,4,9.72,19.74
AG-2014-8240,Standard Class,High,2,253.74,14,60.42,29.42
AG-2014-8390,Second Class,Critical,2,191.22000000000003,2,57.24,52.43
AG-2014-8600,Standard Class,Medium,2,901.3499999999999,3,149.73000000000002,57.739999999999995
AG-2014-8620,Standard Class,Low,5,177.72,9,46.23,24.09
AG-2014-8710,Standard Class,Medium,1,92.16,4,11.04,6.25
AG-2014-8930,Second Class,Medium,1,15.84,1,1.26,2.41
AG-2014-9060,Standard Class,Medium,1,160.32,4,24.0,12.66
AG-2014-9240,First Class,High,1,24.96,2,1.98,1.87
AG-2014-9430,Standard Class,Medium,3,481.68,7,83.31,27.5
AJ-2011-4230,Standard Class,Medium,1,24.45,1,0.0,2.55
AJ-2011-4420,Same Day,Critical,4,591.27,5,80.37,182.06
AJ-2011-4460,Same Day,Medium,1,49.32,1,5.4,9.76
AJ-2011-7680,Standard Class,Medium,1,137.88,1,66.18,6.24
AJ-2012-7450,Standard Class,Medium,1,26.4,2,0.48,2.66
AJ-2012-7720,First Class,High,2,453.24,5,157.32,78.54
AJ-2013-1340,Second Class,High,1,51.63,1,24.24,5.36
AJ-2013-1760,Same Day,Medium,1,141.33,1,14.13,10.89
AJ-2013-180,Second Class,High,1,29.76,2,6.54,4.07
AJ-2013-2640,Standard Class,High,2,2452.56,12,989.88,438.26
AJ-2013-3610,Second Class,High,1,10.08,1,4.62,1.37
AJ-2013-8630,Standard Class,Medium,1,7.62,1,3.42,0.42
AJ-2014-1760,Standard Class,Medium,1,133.2,1,23.97,5.75
AJ-2014-5740,Standard Class,High,3,124.2,5,16.89,21.49
AJ-2014-6170,Second Class,High,1,29.76,1,3.27,4.28
AJ-2014-6800,Standard Class,Medium,3,1076.3400000000001,6,394.26000000000005,48.41
AJ-2014-8550,Standard Class,Medium,1,33.36,2,12.66,2.25
AJ-2014-9020,Standard Class,Medium,1,53.91,1,12.39,2.98
AJ-2014-9550,Second Class,Medium,1,47.4,1,5.67,2.16
AJ-2014-9620,Same Day,High,1,157.8,4,9.36,27.41
AL-2011-4500,Standard Class,Medium,3,77.16,4,6.63,5.54
AL-2011-7440,Second Class,High,1,1619.1,10,258.9,301.73
AL-2011-9500,Second Class,High,1,11.28,1,2.01,0.91
AL-2012-8670,Standard Class,Medium,3,475.92,6,84.96000000000001,40.480000000000004
AL-2012-9220,Standard Class,Medium,1,58.17,1,3.48,5.35
AL-2012-9980,Standard Class,Medium,1,414.03,1,202.86,26.48
AL-2013-3830,First Class,Critical,1,553.92,4,22.08,206.56
AL-2013-7280,Same Day,Critical,1,182.07,1,40.05,59.24
AL-2013-7420,Standard Class,Medium,1,85.26,1,0.84,4.06
AL-2014-8450,Second Class,High,3,411.21,11,87.50999999999999,48.22
AM-2011-7110,Standard Class,High,2,136.26,2,66.24000000000001,11.42
AM-2013-2480,Standard Class,Low,1,20.49,1,2.85,2.08
AO-2011-1390,Second Class,Critical,1,206.4,1,92.88,53.08
AO-2011-1670,Standard Class,High,1,2478.6,6,49.5,349.87
AO-2011-1710,Standard Class,Low,1,9.06,2,4.5,0.8
AO-2011-4780,Standard Class,High,2,1426.56,8,158.16,154.46
AO-2011-4910,Standard Class,Medium,1,28.32,1,12.72,2.0
AO-2011-7110,Standard Class,Medium,4,386.52,7,16.89,33.44
AO-2011-8000,Standard Class,High,3,415.26,4,137.19,63.86
AO-2011-8260,Standard Class,High,6,515.76,30,163.14,74.28
AO-2011-8430,Same Day,High,3,921.87,4,369.69,108.53
AO-2011-9910,Standard Class,Medium,1,28.56,4,11.04,2.19
AO-2012-1000,Standard Class,Medium,3,433.32,6,32.28,31.939999999999998
AO-2012-1220,First Class,Medium,2,163.02,3,5.64,30.61
AO-2012-1230,Standard Class,Medium,3,137.25,6,37.769999999999996,5.87
AO-2012-2480,Standard Class,Medium,3,206.4,4,57.39,13.31
AO-2012-2650,Standard Class,Medium,1,298.62,6,83.52,18.65
AO-2012-2750,Standard Class,Medium,1,4.8,1,2.19,0.37
AO-2012-2810,Second Class,Medium,2,183.51,2,67.08,20.92
AO-2012-3210,Standard Class,Medium,3,499.23,4,106.59,36.64
AO-2012-5450,Same Day,High,1,636.15,1,311.7,31.59
AO-2012-6670,Standard Class,High,1,40.98,1,5.73,2.06
AO-2012-7800,First Class,Medium,1,106.56,8,43.68,14.47
AO-2012-7980,Standard Class,Medium,1,263.73,1,113.4,29.39
AO-2012-8920,Standard Class,Medium,3,199.41,7,76.95,12.08
AO-2013-1140,Standard Class,Medium,1,652.68,1,169.68,52.38
AO-2013-1470,Standard Class,Medium,1,28.38,2,5.64,2.31
AO-2013-1640,Second Class,High,8,1313.94,16,410.52,167.28
AO-2013-2100,Standard Class,High,6,910.56,16,152.1,96.48
AO-2013-2180,Standard Class,High,3,531.93,16,149.31,65.35
AO-2013-2230,Standard Class,High,2,67.2,2,25.68,9.450000000000001
AO-2013-2380,Standard Class,High,1,93.84,4,31.8,10.96
AO-2013-3830,Standard Class,Medium,1,16.32,2,2.28,1.63
AO-2013-4310,Second Class,Medium,2,112.5,7,26.82,12.44
