ProductID,Category,Sub-Category,NumberOfCustomers,TotalSales,TotalQuantity,TotalProfit,TotalShippingCost
FUR-ADV-10000002,Furniture,Furnishings,2,159.12,3,60.39,10.14
FUR-ADV-10000108,Furniture,Furnishings,3,350.07,7,3.36,22.9
FUR-ADV-10000183,Furniture,Furnishings,8,974.832,31,-651.7379999999999,100.02
FUR-ADV-10000188,Furniture,Furnishings,5,124.94999999999999,7,4.200000000000001,16.53
FUR-ADV-10000190,Furniture,Furnishings,1,222.36,2,104.46,32.71
FUR-ADV-10000571,Furniture,Furnishings,8,2194.7999999999997,20,702.0,273.41
FUR-ADV-10000600,Furniture,Furnishings,2,205.8,4,24.6,33.17
FUR-ADV-10000847,Furniture,Furnishings,5,290.73,11,81.18,56.5
FUR-ADV-10001283,Furniture,Furnishings,2,177.792,3,-88.968,15.06
FUR-ADV-10001440,Furniture,Furnishings,7,959.139,22,176.379,78.05
FUR-ADV-10001659,Furniture,Furnishings,6,147.06,10,16.86,21.08
FUR-ADV-10001855,Furniture,Furnishings,4,89.658,4,12.618000000000002,9.89
FUR-ADV-10002329,Furniture,Furnishings,1,7.476,1,-9.534,0.05
FUR-ADV-10002601,Furniture,Furnishings,5,495.36,11,200.01,31.799999999999997
FUR-ADV-10002632,Furniture,Furnishings,1,36.072,2,-48.708,3.28
FUR-ADV-10002889,Furniture,Furnishings,7,803.772,19,-61.48800000000001,106.71000000000001
FUR-ADV-10003147,Furniture,Furnishings,5,187.2,8,57.84,24.26
FUR-ADV-10003326,Furniture,Furnishings,4,54.189,4,11.589,4.47
FUR-ADV-10004159,Furniture,Furnishings,3,194.67,5,-286.68,13.719999999999999
FUR-ADV-10004223,Furniture,Furnishings,2,66.807,2,-6.212999999999999,7.18
FUR-ADV-10004395,Furniture,Furnishings,10,614.076,29,4.206,43.4
FUR-ADV-10004499,Furniture,Furnishings,3,250.04999999999998,5,39.900000000000006,21.21
FUR-ADV-10004718,Furniture,Furnishings,5,124.80599999999998,9,-20.184,12.74
FUR-ADV-10004971,Furniture,Furnishings,2,392.84999999999997,9,121.77,53.099999999999994
