ProductID,Category,Sub-Category,NumberOfCustomers,TotalSales,TotalQuantity,TotalProfit,TotalShippingCost,cluster
FUR-ADV-10000002,Furniture,Furnishings,2,159.12,3,60.39,10.14,0
FUR-ADV-10000108,Furniture,Furnishings,3,350.07,7,3.36,22.9,0
FUR-ADV-10000183,Furniture,Furnishings,8,974.832,31,-651.7379999999999,100.02,0
FUR-ADV-10000188,Furniture,Furnishings,5,124.95,7,4.200000000000001,16.53,0
FUR-ADV-10000190,Furniture,Furnishings,1,222.36,2,104.46,32.71,0
FUR-ADV-10000571,Furniture,Furnishings,8,2194.7999999999997,20,702.0,273.41,0
FUR-ADV-10000600,Furniture,Furnishings,2,205.8,4,24.6,33.17,0
FUR-ADV-10000847,Furniture,Furnishings,5,290.73,11,81.18,56.5,0
FUR-ADV-10001283,Furniture,Furnishings,2,177.792,3,-88.968,15.06,0
FUR-ADV-10001440,Furniture,Furnishings,7,959.139,22,176.379,78.05,0
FUR-ADV-10001659,Furniture,Furnishings,6,147.06,10,16.86,21.08,0
FUR-ADV-10001855,Furniture,Furnishings,4,89.658,4,12.618000000000002,9.89,0
FUR-ADV-10002329,Furniture,Furnishings,1,7.476,1,-9.534,0.05,0
FUR-ADV-10002601,Furniture,Furnishings,5,495.36,11,200.01,31.799999999999997,0
FUR-ADV-10002632,Furniture,Furnishings,1,36.072,2,-48.708,3.28,0
FUR-ADV-10002889,Furniture,Furnishings,7,803.772,19,-61.48800000000001,106.71,0
FUR-ADV-10003147,Furniture,Furnishings,5,187.2,8,57.84,24.26,0
FUR-ADV-10003326,Furniture,Furnishings,4,54.189,4,11.589,4.47,0
FUR-ADV-10004159,Furniture,Furnishings,3,194.67,5,-286.68,13.72,0
FUR-ADV-10004223,Furniture,Furnishings,2,66.807,2,-6.212999999999999,7.18,0
FUR-ADV-10004395,Furniture,Furnishings,10,614.076,29,4.206,43.4,0
FUR-ADV-10004499,Furniture,Furnishings,3,250.05,5,39.900000000000006,21.21,0
FUR-ADV-10004718,Furniture,Furnishings,5,124.80599999999998,9,-20.184,12.74,0
FUR-ADV-10004971,Furniture,Furnishings,2,392.85,9,121.77,53.099999999999994,0
FUR-BAR-10000560,Furniture,Tables,1,1003.02,2,30.06,74.59,0
FUR-BAR-10000831,Furniture,Tables,1,319.77,1,121.5,9.19,0
FUR-BAR-10000946,Furniture,Tables,2,3360.21,7,134.4,288.77,0
FUR-BAR-10001039,Furniture,Tables,2,212.079,2,-303.02099999999996,34.37,0
FUR-BAR-10002449,Furniture,Tables,3,7371.27,23,2358.42,287.62,0
FUR-BAR-10002710,Furniture,Tables,1,364.428,4,-546.732,24.39,0
FUR-BAR-10003465,Furniture,Tables,2,285.246,2,-551.514,59.03,0
FUR-BAR-10003532,Furniture,Tables,2,3075.81,9,-2460.8100000000004,436.01,0
FUR-BAR-10003576,Furniture,Tables,2,636.6,2,261.0,47.44,0
FUR-BAR-10004434,Furniture,Tables,1,2058.0,4,946.68,393.62,0
FUR-BAR-10004553,Furniture,Tables,3,568.566,3,-293.81399999999996,43.57,0
FUR-BAR-10004561,Furniture,Tables,1,518.4,1,67.38,61.72,0
FUR-BAR-10004682,Furniture,Tables,1,2011.92,4,925.44,142.47,0
FUR-BEV-10000326,Furniture,Tables,1,531.18,1,90.3,75.39,0
FUR-BEV-10000388,Furniture,Tables,1,315.75,1,129.45,28.79,0
FUR-BEV-10001048,Furniture,Tables,1,923.76,1,249.39,72.12,0
FUR-BEV-10001217,Furniture,Tables,1,1070.16,2,321.0,116.69,0
FUR-BEV-10001853,Furniture,Tables,1,984.18,2,344.46,36.7,0
FUR-BEV-10002193,Furniture,Tables,1,1248.912,6,-1779.768,18.28,0
FUR-BEV-10002369,Furniture,Tables,2,942.06,7,-1107.12,138.89,0
FUR-BEV-10002803,Furniture,Tables,1,925.23,1,305.31,89.9,0
FUR-BEV-10003414,Furniture,Tables,2,694.386,2,178.50600000000003,49.78,0
FUR-BEV-10004805,Furniture,Tables,1,1842.66,2,884.46,130.25,0
FUR-BEV-10004919,Furniture,Tables,2,2668.05,5,853.65,448.95,0
FUR-BO-10000002,Furniture,Bookcases,4,4442.639999999999,11,103.8,342.59000000000003,0
FUR-BO-10000008,Furniture,Bookcases,1,465.156,2,-255.864,46.63,0
FUR-BO-10000021,Furniture,Bookcases,1,243.06,2,102.06,33.09,0
FUR-BO-10000022,Furniture,Bookcases,3,2201.55,14,44.010000000000005,268.22,0
FUR-BO-10000034,Furniture,Bookcases,3,1450.35,5,-659.25,86.31,0
FUR-BO-10000035,Furniture,Bookcases,5,8308.1376,21,3288.2976,721.33,0
FUR-BO-10000038,Furniture,Bookcases,4,2632.824,18,-1667.736,253.75,0
FUR-BO-10000071,Furniture,Bookcases,8,3046.23,22,1083.39,297.37,0
FUR-BO-10000087,Furniture,Bookcases,10,5234.4264,34,83.50640000000001,460.6,0
FUR-BO-10000112,Furniture,Bookcases,6,2393.8422,24,117.4362,303.84000000000003,0
FUR-BO-10000120,Furniture,Bookcases,2,1262.652,10,220.152,342.75,0
FUR-BO-10000148,Furniture,Bookcases,4,818.892,11,-228.528,47.4,0
FUR-BO-10000155,Furniture,Bookcases,4,1798.644,20,509.8440000000001,114.22,0
FUR-BO-10000160,Furniture,Bookcases,1,704.052,2,312.912,218.81,0
FUR-BO-10000170,Furniture,Bookcases,2,4943.106,14,-274.974,448.83,0
FUR-BO-10000175,Furniture,Bookcases,5,1934.334,17,440.544,223.25,0
FUR-BO-10000184,Furniture,Bookcases,1,157.68,3,-145.86,27.49,0
FUR-BO-10000195,Furniture,Bookcases,3,1179.045,12,270.405,114.83,0
FUR-BO-10000203,Furniture,Bookcases,6,6874.7184,19,2608.8384,618.6800000000001,0
FUR-BO-10000208,Furniture,Bookcases,5,3890.565,33,955.215,429.52,0
FUR-BO-10000210,Furniture,Bookcases,8,8797.5288,26,2158.9488,1001.55,0
FUR-BO-10000214,Furniture,Bookcases,1,291.792,3,-393.948,19.68,0
FUR-BO-10000243,Furniture,Bookcases,4,4690.7712,28,585.6912,334.99,0
FUR-BO-10000259,Furniture,Bookcases,6,7667.625,21,858.585,850.62,0
FUR-BO-10000265,Furniture,Bookcases,4,2364.894,14,697.074,216.8,0
FUR-BO-10000268,Furniture,Bookcases,4,1504.344,11,-269.61599999999993,152.23000000000002,0
FUR-BO-10000269,Furniture,Bookcases,5,893.592,13,194.192,79.47,0
FUR-BO-10000279,Furniture,Bookcases,5,6222.861,20,535.461,704.72,0
FUR-BO-10000288,Furniture,Bookcases,5,8368.664999999999,20,-131.535,1104.19,0
FUR-BO-10000311,Furniture,Bookcases,2,1236.06,7,274.68,225.28,0
FUR-BO-10000321,Furniture,Bookcases,2,893.7239999999999,10,-189.276,84.09,0
FUR-BO-10000330,Furniture,Bookcases,3,1064.624,10,24.196000000000005,50.11,0
FUR-BO-10000362,Furniture,Bookcases,5,2154.348,14,311.1836,228.79,0
FUR-BO-10000378,Furniture,Bookcases,4,1288.896,15,45.995999999999995,133.41,0
